u,v,path_vertices,path_edges
0,71,"[0, 71]",0-71
1,95,"[1, 95]",1-95
4,8,"[4, 7, 8]",4-7;7-8
5,26,"[5, 26]",5-26
6,9,"[6, 9]",6-9
13,16,"[13, 16]",13-16
19,24,"[19, 18, 21, 24]",19-18;18-21;21-24
27,28,"[27, 28]",27-28
30,47,"[30, 32, 33, 47]",30-32;32-33;33-47
