order,u,v,weight,cumulative_cost
0,71,0,108.57785714285714,108.57785714285714
1,94,71,210.50071428571428,319.0785714285714
2,58,94,205.49571428571429,524.5742857142857
3,59,58,144.5857142857143,669.16
4,48,59,112.62428571428572,781.7842857142857
5,47,48,179.19285714285715,960.9771428571429
6,33,47,183.65785714285715,1144.635
7,47,33,183.65785714285715,1328.2928571428572
8,49,47,222.75357142857143,1551.0464285714286
9,35,49,303.70714285714286,1854.7535714285714
10,37,35,386.0792857142857,2240.832857142857
11,36,37,117.42571428571428,2358.258571428571
12,38,36,444.4721428571429,2802.730714285714
13,22,38,601.3971428571429,3404.1278571428566
14,25,22,241.00785714285715,3645.1357142857137
15,24,25,756.7278571428571,4401.863571428571
16,21,24,301.065,4702.928571428571
17,24,21,301.065,5003.99357142857
18,23,24,196.10142857142856,5200.094999999998
19,20,23,238.71,5438.8049999999985
20,21,20,236.71,5675.5149999999985
21,18,21,387.6792857142857,6063.194285714284
22,21,18,387.6792857142857,6450.873571428569
23,22,21,759.2957142857143,7210.169285714283
24,19,22,404.15,7614.319285714283
25,18,19,639.1735714285714,8253.492857142854
26,19,18,639.1735714285714,8892.666428571425
27,17,19,126.54642857142858,9019.212857142853
28,36,17,374.6821428571429,9393.894999999995
29,34,36,425.295,9819.189999999995
30,35,34,198.66071428571428,10017.850714285709
31,33,35,182.45142857142852,10200.302142857137
32,32,33,158.65357142857144,10358.955714285708
33,30,32,162.11857142857144,10521.07428571428
34,32,30,162.11857142857144,10683.19285714285
35,33,32,158.65357142857144,10841.846428571422
36,31,33,162.64428571428573,11004.490714285708
37,45,31,243.76,11248.250714285708
38,43,45,182.1292857142857,11430.379999999994
39,42,43,334.37714285714287,11764.757142857137
40,27,42,117.60214285714288,11882.35928571428
41,28,27,41.86,11924.21928571428
42,31,28,223.68785714285715,12147.907142857137
43,30,31,194.90571428571428,12342.812857142851
44,29,30,277.7764285714286,12620.58928571428
45,11,29,182.1021428571429,12802.691428571423
46,32,11,239.49142857142857,13042.182857142852
47,34,32,200.6242857142857,13242.807142857138
48,14,34,245.3271428571429,13488.13428571428
49,17,14,401.75428571428574,13889.888571428566
50,16,17,338.355,14228.243571428566
51,13,16,322.13428571428574,14550.377857142852
52,16,13,322.13428571428574,14872.512142857138
53,15,16,221.0157142857143,15093.527857142853
54,12,15,339.765,15433.292857142853
55,13,12,213.29,15646.582857142854
56,14,13,226.03357142857143,15872.616428571426
57,11,14,179.41571428571427,16052.03214285714
58,10,11,421.42357142857145,16473.455714285712
59,12,10,220.16357142857143,16693.619285714285
60,95,12,403.8085714285714,17097.427857142855
61,1,95,239.79642857142852,17337.224285714285
62,15,1,185.8028571428572,17523.027142857143
63,18,15,127.59357142857144,17650.620714285713
64,2,18,247.1071428571429,17897.727857142854
65,1,2,32.56,17930.287857142856
66,95,1,239.79642857142852,18170.084285714285
67,9,95,217.26428571428573,18387.34857142857
68,6,9,248.02214285714285,18635.370714285713
69,9,6,248.02214285714285,18883.392857142855
70,10,9,320.21500000000003,19203.607857142855
71,7,10,205.38,19408.987857142856
72,8,7,249.41000000000005,19658.397857142856
73,29,8,174.56642857142856,19832.964285714286
74,26,29,245.43,20078.394285714287
75,5,26,176.61214285714286,20255.00642857143
76,8,5,205.7178571428572,20460.724285714285
77,7,8,249.41000000000005,20710.134285714284
78,4,7,203.57857142857145,20913.712857142855
79,7,4,203.57857142857145,21117.291428571425
80,6,7,317.1907142857143,21434.482142857138
81,3,6,284.33500000000004,21718.817142857137
82,4,3,212.45142857142852,21931.268571428565
83,5,4,249.3164285714286,22180.584999999995
84,26,5,176.61214285714286,22357.197142857138
85,27,26,325.12071428571426,22682.31785714285
86,28,27,41.86,22724.17785714285
87,43,28,82.87357142857144,22807.051428571423
88,44,43,196.29142857142853,23003.342857142852
89,57,44,589.1464285714286,23592.48928571428
90,70,57,211.24357142857144,23803.73285714285
91,71,70,179.07642857142858,23982.80928571428
92,0,71,108.57785714285714,24091.387142857136
