u,v,path_vertices,path_edges
0,51,"[0, 72, 60, 63, 62, 64, 52, 51]",0-72;72-60;60-63;63-62;62-64;64-52;52-51
19,24,"[19, 18, 21, 24]",19-18;18-21;21-24
33,48,"[33, 47, 48]",33-47;47-48
36,40,"[36, 38, 40]",36-38;38-40
57,94,"[57, 94]",57-94
68,70,"[68, 70]",68-70
