order,u,v,weight,cumulative_cost
0,72,0,77.75857142857143,77.75857142857143
1,84,72,156.8642857142857,234.62285714285713
2,85,84,463.4921428571429,698.115
3,88,85,176.79142857142858,874.9064285714286
4,92,88,542.1657142857143,1417.0721428571428
5,91,92,232.7778571428572,1649.85
6,92,91,232.7778571428572,1882.627857142857
7,93,92,156.09,2038.717857142857
8,77,93,363.81642857142856,2402.5342857142855
9,76,77,102.95857142857145,2505.492857142857
10,77,76,102.95857142857145,2608.451428571428
11,90,77,95.25142857142856,2703.702857142857
12,89,90,73.07714285714286,2776.7799999999997
13,90,89,73.07714285714286,2849.8571428571427
14,91,90,169.22214285714287,3019.0792857142856
15,87,91,540.925,3560.0042857142853
16,86,87,106.66928571428572,3666.673571428571
17,87,86,106.66928571428572,3773.3428571428567
18,88,87,235.7271428571429,4009.0699999999997
19,85,88,176.79142857142858,4185.861428571428
20,83,85,144.28714285714287,4330.148571428571
21,81,83,60.50000000000001,4390.648571428571
22,83,81,60.50000000000001,4451.148571428571
23,82,83,485.8564285714286,4937.004999999999
24,84,82,204.85857142857145,5141.863571428571
25,86,84,198.625,5340.488571428571
26,73,86,131.13357142857143,5471.6221428571425
27,86,73,131.13357142857143,5602.755714285714
28,89,86,467.82642857142855,6070.582142857143
29,74,89,37.53,6108.112142857142
30,73,74,271.9664285714286,6380.078571428571
31,74,73,271.9664285714286,6652.045
32,75,74,116.37571428571428,6768.420714285714
33,76,75,101.45142857142858,6869.8721428571425
34,65,76,521.7742857142857,7391.646428571428
35,66,65,171.215,7562.861428571428
36,67,66,43.31571428571429,7606.177142857143
37,66,67,43.31571428571429,7649.492857142857
38,55,66,227.15785714285715,7876.6507142857145
39,53,55,234.4171428571429,8111.067857142857
40,54,53,244.5421428571429,8355.61
41,65,54,126.85714285714286,8482.467142857144
42,64,65,309.0114285714285,8791.478571428572
43,75,64,410.31714285714287,9201.795714285714
44,63,75,498.7457142857143,9700.541428571429
45,73,63,200.0128571428572,9900.554285714286
46,72,73,199.5478571428572,10100.102142857144
47,60,72,142.79285714285714,10242.895
48,94,60,129.74214285714285,10372.637142857144
49,58,94,205.49571428571429,10578.132857142858
50,59,58,144.5857142857143,10722.718571428573
51,48,59,112.62428571428572,10835.34285714286
52,59,48,112.62428571428572,10947.967142857146
53,61,59,121.36571428571428,11069.33285714286
54,62,61,55.637142857142855,11124.970000000001
55,64,62,372.2192857142857,11497.189285714287
56,52,64,154.11928571428572,11651.308571428572
57,54,52,212.435,11863.743571428571
58,53,54,244.5421428571429,12108.285714285714
59,55,53,234.4171428571429,12342.702857142856
60,41,55,221.7178571428572,12564.420714285714
61,40,41,237.22785714285715,12801.648571428572
62,25,40,487.4771428571429,13289.125714285714
63,40,25,487.4771428571429,13776.602857142856
64,41,40,237.22785714285715,14013.830714285714
65,39,41,156.08214285714286,14169.912857142857
66,53,39,241.81142857142856,14411.724285714286
67,51,53,237.005,14648.729285714286
68,52,51,204.48357142857145,14853.212857142857
69,50,52,391.2057142857143,15244.41857142857
70,61,50,129.28,15373.698571428571
71,62,61,55.637142857142855,15429.335714285713
72,63,62,191.05714285714288,15620.392857142855
73,60,63,119.55785714285716,15739.950714285713
74,72,60,142.79285714285714,15882.74357142857
75,0,72,77.75857142857143,15960.50214285714
