order,u,v,weight,cumulative_cost
162,29,11,58.943,10558.258
163,8,29,48.393,10606.651
164,29,8,48.393,10655.044
165,26,29,63.602,10718.646
166,5,26,51.257,10769.903
167,8,5,64.005,10833.908
168,7,8,69.174,10903.082
169,4,7,61.01,10964.092
170,7,4,61.01,11025.102
171,6,7,80.067,11105.169
172,3,6,62.069,11167.238
173,4,3,73.432,11240.67
174,5,4,69.043,11309.713
175,26,5,51.257,11360.97
176,27,26,63.169,11424.139
177,28,27,30.604,11454.742999999999
178,43,28,60.023,11514.765999999998
179,44,43,50.808,11565.573999999999
180,46,44,56.428,11622.001999999999
181,48,46,60.234,11682.235999999999
182,50,48,60.084,11742.32
183,61,50,40.992,11783.312
184,62,61,21.892,11805.204
185,63,62,71.48,11876.684
186,60,63,55.381,11932.064999999999
187,72,60,59.91,11991.974999999999
188,0,72,24.862,12016.836999999998
189,71,0,40.009,12056.845999999998
190,0,71,40.009,12096.854999999998
