order,u,v,weight,cumulative_cost
0,72,0,77.75857142857143,77.75857142857143
1,84,72,156.8642857142857,234.62285714285713
2,86,84,198.625,433.24785714285713
3,89,86,467.82642857142855,901.0742857142857
4,74,89,37.53,938.6042857142857
5,89,74,37.53,976.1342857142856
6,90,89,73.07714285714286,1049.2114285714285
7,91,90,169.22214285714287,1218.4335714285714
8,92,91,232.7778571428572,1451.2114285714285
9,91,92,232.7778571428572,1683.9892857142856
10,87,91,540.925,2224.9142857142856
11,86,87,106.66928571428572,2331.5835714285713
12,73,86,131.13357142857143,2462.717142857143
13,86,73,131.13357142857143,2593.8507142857143
14,87,86,106.66928571428572,2700.52
15,88,87,235.7271428571429,2936.247142857143
16,85,88,176.79142857142858,3113.0385714285717
17,84,85,463.4921428571429,3576.5307142857146
18,82,84,204.85857142857145,3781.389285714286
19,83,82,485.8564285714286,4267.245714285715
20,81,83,60.50000000000001,4327.745714285715
21,83,81,60.50000000000001,4388.245714285715
22,85,83,144.28714285714287,4532.532857142857
23,88,85,176.79142857142858,4709.324285714286
24,92,88,542.1657142857143,5251.49
25,93,92,156.09,5407.58
26,77,93,363.81642857142856,5771.396428571428
27,90,77,95.25142857142856,5866.647857142857
28,77,90,95.25142857142856,5961.899285714286
29,76,77,102.95857142857145,6064.857857142857
30,65,76,521.7742857142857,6586.632142857143
31,76,65,521.7742857142857,7108.4064285714285
32,75,76,101.45142857142858,7209.857857142857
33,74,75,116.37571428571428,7326.233571428571
34,73,74,271.9664285714286,7598.2
35,63,73,200.01285714285717,7798.212857142857
36,75,63,498.7457142857143,8296.958571428571
37,64,75,410.31714285714287,8707.275714285714
38,65,64,309.0114285714285,9016.287142857142
39,54,65,126.85714285714286,9143.144285714285
40,65,54,126.85714285714286,9270.001428571428
41,66,65,171.215,9441.216428571428
42,67,66,43.31571428571429,9484.532142857142
43,66,67,43.31571428571429,9527.847857142857
44,55,66,227.15785714285715,9755.005714285713
45,41,55,221.7178571428572,9976.72357142857
46,55,41,221.7178571428572,10198.441428571428
47,53,55,234.4171428571429,10432.858571428571
48,54,53,244.5421428571429,10677.400714285714
49,52,54,212.435,10889.835714285713
50,64,52,154.11928571428572,11043.954999999998
51,62,64,372.2192857142857,11416.174285714284
52,61,62,55.637142857142855,11471.811428571425
53,62,61,55.637142857142855,11527.448571428567
54,63,62,191.05714285714288,11718.50571428571
55,73,63,200.01285714285717,11918.518571428567
56,72,73,199.54785714285717,12118.066428571425
57,60,72,142.79285714285714,12260.859285714281
58,63,60,119.55785714285716,12380.417142857139
59,60,63,119.55785714285716,12499.974999999997
60,94,60,129.74214285714285,12629.71714285714
61,58,94,205.49571428571429,12835.212857142855
62,59,58,144.5857142857143,12979.79857142857
63,48,59,112.62428571428572,13092.422857142856
64,59,48,112.62428571428572,13205.047142857142
65,61,59,121.36571428571428,13326.412857142856
66,50,61,129.28,13455.692857142856
67,52,50,391.2057142857143,13846.89857142857
68,51,52,204.48357142857145,14051.382142857141
69,53,51,237.005,14288.38714285714
70,39,53,241.81142857142856,14530.19857142857
71,41,39,156.08214285714286,14686.280714285713
72,40,41,237.22785714285715,14923.50857142857
73,25,40,487.4771428571429,15410.985714285713
74,40,25,487.4771428571429,15898.462857142855
75,38,40,179.11,16077.572857142855
