order,u,v,weight,cumulative_cost
0,72,0,77.75857142857143,77.75857142857143
1,84,72,156.8642857142857,234.62285714285713
2,86,84,198.625,433.24785714285713
3,89,86,467.82642857142855,901.0742857142857
4,74,89,37.53,938.6042857142857
5,89,74,37.53,976.1342857142856
6,90,89,73.07714285714286,1049.2114285714285
7,91,90,169.22214285714287,1218.4335714285714
8,92,91,232.7778571428572,1451.2114285714285
9,91,92,232.7778571428572,1683.9892857142856
10,87,91,540.925,2224.9142857142856
11,86,87,106.66928571428572,2331.5835714285713
12,73,86,131.13357142857143,2462.717142857143
13,86,73,131.13357142857143,2593.8507142857143
14,87,86,106.66928571428572,2700.52
15,88,87,235.7271428571429,2936.247142857143
16,85,88,176.79142857142858,3113.0385714285717
17,84,85,463.4921428571429,3576.5307142857146
18,82,84,204.85857142857145,3781.389285714286
19,83,82,485.8564285714286,4267.245714285715
20,81,83,60.50000000000001,4327.745714285715
21,83,81,60.50000000000001,4388.245714285715
22,85,83,144.28714285714287,4532.532857142857
23,88,85,176.79142857142858,4709.324285714286
24,92,88,542.1657142857143,5251.49
25,93,92,156.09,5407.58
26,77,93,363.81642857142856,5771.396428571428
27,90,77,95.25142857142856,5866.647857142857
28,77,90,95.25142857142856,5961.899285714286
29,76,77,102.95857142857145,6064.857857142857
30,65,76,521.7742857142857,6586.632142857143
31,76,65,521.7742857142857,7108.4064285714285
32,75,76,101.45142857142858,7209.857857142857
33,74,75,116.37571428571428,7326.233571428571
34,73,74,271.9664285714286,7598.2
35,72,73,199.5478571428572,7797.747857142857
36,73,72,199.5478571428572,7997.295714285715
37,63,73,200.0128571428572,8197.308571428572
38,75,63,498.7457142857143,8696.054285714286
39,64,75,410.31714285714287,9106.371428571429
40,65,64,309.0114285714285,9415.382857142857
41,54,65,126.85714285714286,9542.24
42,65,54,126.85714285714286,9669.097142857143
43,66,65,171.215,9840.312142857143
44,67,66,43.31571428571429,9883.627857142857
45,66,67,43.31571428571429,9926.943571428572
46,55,66,227.15785714285715,10154.101428571428
47,41,55,221.7178571428572,10375.819285714286
48,55,41,221.7178571428572,10597.537142857143
49,53,55,234.4171428571429,10831.954285714286
50,54,53,244.5421428571429,11076.496428571429
51,52,54,212.435,11288.931428571428
52,51,52,204.48357142857145,11493.414999999999
53,53,51,237.005,11730.419999999998
54,39,53,241.81142857142856,11972.231428571427
55,41,39,156.08214285714286,12128.31357142857
56,40,41,237.22785714285715,12365.541428571429
57,25,40,487.4771428571429,12853.01857142857
58,40,25,487.4771428571429,13340.495714285713
59,38,40,179.11,13519.605714285713
60,39,38,197.4978571428572,13717.10357142857
61,37,39,281.57,13998.67357142857
62,51,37,181.84571428571428,14180.519285714285
63,49,51,406.62142857142857,14587.140714285713
64,50,49,198.93357142857144,14786.074285714285
65,52,50,391.2057142857143,15177.279999999999
66,64,52,154.11928571428572,15331.399285714284
67,62,64,372.2192857142857,15703.61857142857
68,61,62,55.637142857142855,15759.255714285711
69,59,61,121.36571428571428,15880.621428571425
70,58,59,144.5857142857143,16025.20714285714
71,59,58,144.5857142857143,16169.792857142855
72,48,59,112.62428571428572,16282.41714285714
73,47,48,179.19285714285715,16461.609999999997
74,45,47,183.87142857142857,16645.481428571424
75,46,45,176.2342857142857,16821.71571428571
76,58,46,220.2921428571429,17042.007857142853
77,94,58,205.49571428571429,17247.503571428566
78,60,94,129.74214285714285,17377.24571428571
79,94,60,129.74214285714285,17506.987857142853
80,57,94,78.37857142857143,17585.366428571426
81,94,57,78.37857142857143,17663.745
82,71,94,210.50071428571428,17874.245714285713
83,82,71,179.59714285714284,18053.842857142856
84,80,82,178.98142857142858,18232.824285714283
85,81,80,547.0557142857143,18779.879999999997
86,79,81,166.84642857142856,18946.726428571426
87,78,79,369.13214285714287,19315.85857142857
88,80,78,267.50714285714287,19583.365714285712
89,70,80,198.7621428571429,19782.127857142856
90,68,70,445.0864285714285,20227.214285714283
91,70,68,445.0864285714285,20672.30071428571
92,57,70,211.24357142857144,20883.54428571428
93,69,57,176.79142857142858,21060.33571428571
94,56,69,491.3614285714286,21551.697142857138
95,44,56,279.8864285714285,21831.583571428568
96,46,44,220.3057142857143,22051.889285714282
97,48,46,203.02428571428567,22254.913571428566
98,50,48,222.9171428571429,22477.83071428571
99,61,50,129.28,22607.110714285707
100,62,61,55.637142857142855,22662.74785714285
101,63,62,191.05714285714288,22853.804999999993
102,60,63,119.55785714285716,22973.36285714285
103,72,60,142.79285714285714,23116.155714285705
104,0,72,77.75857142857143,23193.914285714276
105,71,0,108.57785714285714,23302.492142857132
106,0,71,108.57785714285714,23411.06999999999
