order,u,v,weight,cumulative_cost
0,72,0,77.75857142857143,77.75857142857143
1,60,72,142.79285714285714,220.55142857142857
2,63,60,119.55785714285716,340.10928571428576
3,62,63,191.05714285714288,531.1664285714287
4,64,62,372.2192857142857,903.3857142857144
5,52,64,154.11928571428572,1057.505
6,51,52,204.48357142857145,1261.9885714285715
7,37,51,181.84571428571428,1443.8342857142857
8,36,37,117.42571428571428,1561.26
9,17,36,374.6821428571429,1935.942142857143
10,36,17,374.6821428571429,2310.6242857142856
11,34,36,425.295,2735.9192857142857
12,35,34,198.66071428571428,2934.58
13,33,35,182.45142857142852,3117.0314285714285
14,32,33,158.65357142857144,3275.685
15,30,32,162.11857142857144,3437.8035714285716
16,32,30,162.11857142857144,3599.922142857143
17,33,32,158.65357142857144,3758.5757142857146
18,31,33,162.64428571428573,3921.2200000000003
19,45,31,243.76,4164.9800000000005
20,43,45,182.1292857142857,4347.109285714286
21,42,43,334.37714285714287,4681.486428571428
22,27,42,117.60214285714288,4799.088571428571
23,28,27,41.86,4840.948571428571
24,31,28,223.68785714285715,5064.636428571428
25,30,31,194.90571428571428,5259.542142857143
26,29,30,277.7764285714286,5537.318571428571
27,11,29,182.1021428571429,5719.420714285714
28,32,11,239.49142857142857,5958.9121428571425
29,34,32,200.6242857142857,6159.536428571429
30,14,34,245.3271428571429,6404.863571428571
31,17,14,401.75428571428574,6806.617857142857
32,16,17,338.355,7144.972857142857
33,13,16,322.13428571428574,7467.107142857142
34,16,13,322.13428571428574,7789.241428571428
35,15,16,221.0157142857143,8010.257142857142
36,12,15,339.765,8350.022142857142
37,13,12,213.29,8563.312142857143
38,14,13,226.03357142857143,8789.345714285715
39,11,14,179.41571428571427,8968.76142857143
40,10,11,421.42357142857145,9390.185000000001
41,12,10,220.16357142857143,9610.348571428573
42,95,12,403.8085714285714,10014.157142857144
43,1,95,239.79642857142852,10253.953571428572
44,15,1,185.8028571428572,10439.756428571429
45,18,15,127.59357142857144,10567.35
46,2,18,247.1071428571429,10814.457142857143
47,1,2,32.56,10847.017142857143
48,95,1,239.79642857142852,11086.81357142857
49,9,95,217.26428571428573,11304.077857142856
50,6,9,248.02214285714285,11552.099999999999
51,9,6,248.02214285714285,11800.12214285714
52,10,9,320.21500000000003,12120.33714285714
53,7,10,205.38,12325.71714285714
54,8,7,249.41000000000005,12575.12714285714
55,29,8,174.56642857142856,12749.693571428568
56,26,29,245.43,12995.123571428569
57,5,26,176.61214285714286,13171.73571428571
58,8,5,205.7178571428572,13377.453571428568
59,7,8,249.41000000000005,13626.863571428568
60,4,7,203.57857142857145,13830.44214285714
61,7,4,203.57857142857145,14034.020714285713
62,6,7,317.1907142857143,14351.211428571427
63,3,6,284.33500000000004,14635.546428571426
64,4,3,212.45142857142852,14847.997857142855
65,5,4,249.3164285714286,15097.314285714283
66,26,5,176.61214285714286,15273.926428571425
67,27,26,325.12071428571426,15599.04714285714
68,28,27,41.86,15640.90714285714
69,43,28,82.87357142857144,15723.780714285713
70,44,43,196.29142857142853,15920.072142857141
71,57,44,589.1464285714286,16509.21857142857
72,70,57,211.24357142857144,16720.46214285714
73,71,70,179.07642857142858,16899.53857142857
74,0,71,108.57785714285714,17008.116428571426
