u,v,path_vertices,path_edges
1,95,"[1, 95]",1-95
4,8,"[4, 7, 8]",4-7;7-8
5,26,"[5, 26]",5-26
6,9,"[6, 9]",6-9
13,16,"[13, 16]",13-16
17,36,"[17, 36]",17-36
27,28,"[27, 28]",27-28
30,33,"[30, 32, 33]",30-32;32-33
